Twitter;Nickname;Location;Score;Influence;Mentions;Interactions;Following;Followers;Tweets;List Count
Juan Antonio Tirado;@jatirado;madrid;48879;9;5431;3103;43540;79489;1759269;862
ConSalud.es;@Consalud_es;españa;48090;10;4809;7947;80542;139566;299857;1861
Juan Antonio Tirado;@jatirado_oc;madrid, comunidad de madrid;39416;7;6270;11372;4894;5670;775951;25
Luis R. Manzorro;@Manzorro_LuisR;alcorcón (madrid);36003;7;5499;32164;0;5121;21465;62
Redacción Médica;@redaccionmedica;españa;29718;9;3302;3706;7772;91732;314152;1756
Diario SUR;@DiarioSUR;málaga;27170;10;2717;4388;6490;275247;323883;2099
EFE Noticias;@EFEnoticias;madrid;21580;10;2158;43300;48;2054627;308480;19907
LaCerca noticias CLM;@La_Cerca;castilla-la mancha;21240;8;2655;263;4803;18473;468995;358
EL PAÍS;@el_pais;madrid;20930;10;2093;347129;807;8546577;683151;58009
Ituerahipster;@ituerahipster;madrid, comunidad de madrid;20389;6;3786;45844;360;3857;91852;21
Caos 3.0;@caos3_0;españa-spain;20377;7;2911;4011;137;8410;46602;60
Canarias7;@canarias7;islas canarias;17643;10;1824;4765;1529;112185;186734;971
ABC de Sevilla;@abcdesevilla;sevilla;17630;10;1763;5893;1239;227148;367024;1747
Mary Carmen Porres #QuédateEnCasa;@LaPorres;españa madrid-donosti/chile rm;16576;7;2368;75;8189;9365;328001;297
ZeroCovid  ;@la_resistensia_;spain;15931;8;2270;36857;7045;10054;26892;98
Gacetín Madrid;@Gacetinmadrid;comunidad de madrid, españa;15872;8;1984;2824;7763;17691;120083;270
RTVC;@RTVCes;islas canarias;15628;10;1612;10304;800;112523;128220;908
ABC.es;@abc_es;españa;14570;10;1457;69906;14675;2210335;546704;19021
Belinda Duro;@DuroBelinda;españa.;14441;7;2063;0;4972;7238;1551635;250
Gorka Orive;@gorka_orive;vitoria-gasteiz, (spain);14337;9;1593;291072;2857;96381;19322;1054
ideal_granada;@ideal_granada;granada;13850;10;1385;1929;874;134213;231411;1227
20minutos.es;@20m;spain;13830;10;1383;19964;51390;1485266;539524;14183
RTVE;@rtve;españa;13770;10;1377;7681;460;1249946;353809;13108
Noticias De;@NoticiasDeEs;es;13760;5;2752;17;998;1205;139946;8
Noticias de Gipuzkoa;@NotGip;gipuzkoa;13536;8;1692;969;1268;22888;133939;445
Diario de Noticias;@NoticiasNavarra;pamplona, navarra;13520;10;1352;4597;5787;110456;304831;1253
La Razón;@larazon_es;españa;13110;10;1311;4775;2991;568955;484305;7039
La Vanguardia;@LaVanguardia;barcelona;12670;10;1267;15870;675;1298919;617630;14252
Manu_K_talà :v: #Llibertat;@Manu_K_tala;barcelona, catalunya, eu;12642;7;1806;1;5991;5469;474684;2
Noticiero Madrid;@NoticieroMAD;madrid;11449;5;2297;6332;2188;2512;165132;17
Miguel Ángel Reinoso;@mianrey;madrid;11358;10;1173;582451;682;146142;42691;795
Público;@publico_es;madrid, spain;10660;10;1066;50333;1550;1123260;522396;15378
maty;@nauscopio;tarragona;10245;5;2102;2469;636;2396;82810;43
Quincemil;@quincemil15000;a coruña, galicia;10080;8;1260;366;331;15691;85789;169
elDiario.es Euskadi;@eldiarioeus;euskadi;10072;8;1259;524;8121;10826;107678;202
Informativos Telecinco;@informativost5;mediaset españa;9900;10;990;13059;1292;828153;235840;4126
Huelva Información;@huelva_info;huelva;9776;8;1222;401;1821;29509;161971;447
El Periódico;@elperiodico;barcelona;9680;10;968;4255;17841;719677;580443;7858
El HuffPost;@ElHuffPost;madrid, spain;9440;10;944;53020;2147;564584;603303;8405
José Garcia;@jose197312;collado villalba - moral;9136;4;2284;24;2714;520;516907;19
Diario de Sevilla;@diariosevilla;sevilla, spain;8930;10;893;1740;670;216266;236312;1911
El Progreso de Lugo;@elprogreso_Lugo;lugo, galicia, españa;8616;8;1077;1144;225;30815;262795;502
locuspolitikus;@locuspolitikus;barcelona, españa;8600;8;1075;2;14276;13059;1648611;167
ᨖ αиα;@anadesdepucela;españa;8286;6;1381;14;4491;4653;134742;6
ideal_almeria;@ideal_almeria;almería;8136;8;1017;192;417;21974;153635;368
Sanidad Gobcan;@SanidadGobCan;islas canarias, españa;8046;9;944;26953;131;60556;11758;306
Javier (mascarilla ventilación  CO2 );@nikomer75;españa;8010;5;1602;6727;2683;2723;65185;33
osMa pin laden;@juan3pueblo;españa;7836;6;1306;124;2854;3688;730868;59
MCM #PolíticaSigloXXI/:hearts:;@937908Mcm;mairena del aljarafe, sevilla;7805;7;1115;144;6016;7142;495423;59
Masanpra;@masanpra;lugo;7734;5;1559;13752;413;2297;24747;30
Arquero Público #NormalidadYA;@ArqueroPublico;madrid, españa;7722;8;1060;18123;2536;10558;83038;583
Maria Rodriguez Pere:hearts:;@Mariaperezpere;boadilla del monte;7710;6;1344;4;1370;3300;699564;86
diariomedico;@diariomedico;madrid;7680;10;768;1099;1544;121957;54549;2198
Telemadrid;@telemadrid;madrid (spain);7670;10;767;3159;12;130698;278371;1465
Isabel Martín;@valsurbio;madrid, comunidad de madrid;7631;6;1300;20;4617;3508;295880;76
ideal_jaen;@ideal_jaen;jaén;7624;8;953;350;417;23723;137833;368
iSanidad;@isanidad;españa;7560;8;945;843;4433;20882;99430;458
VilaWeb;@VilaWeb;catalunya;7550;10;755;3511;5700;338772;480568;3965
Diario de Pontevedra;@Diario_Pontev;pontevedra (galicia-spain);7520;8;940;296;116;19213;216972;338
didaclopez;@didaclopez;esplugues de llobregat;7464;6;1244;68;4992;3344;468228;209
Miguel Marcos;@drmiguelmarcos;salamanca, spain;7447;9;895;24792;3946;57604;64508;555
Pedro C. Fernández ;@PedroCFernandez;costa tropical de granada;7399;7;1057;856;1099;5674;87057;199
Málaga Hoy;@malagahoy_es;málaga (andalucía, españa);7350;10;735;1505;7332;139536;129855;1017
EL MUNDO;@elmundoes;españa;7330;10;733;135502;1394;4245920;375054;32047
López - #FueraEmergenciaSanitaria -;@toni17lopez;comtat de barcelona, espanya.;7325;5;1465;18069;2368;2828;74588;33
La Provincia;@laprovincia_es;las palmas de gran canaria;7200;10;720;871;652;118757;380044;971
JuanSinmiedo;@JuanRaeiros;o grove,  pontevedra - españa;7136;8;892;112;685;14729;1031757;62
DEIA;@deia_eus;bilbao;7110;9;790;678;3698;56375;263328;910
laSexta;@laSextaTV;spain;7010;10;701;9590;611;1119368;283023;6497
Faro de Vigo;@Farodevigo;vigo;6940;10;694;2267;939;175942;235049;1523
María Lleó;@llemj;canary islands (spain);6885;5;1377;0;3271;1648;1383281;459
COPE;@COPE;madrid, comunidad de madrid;6870;10;687;4726;229;503137;303939;3853
marisaNBA1;@Nba1Marisa;vigo, pontevedra españa;6835;5;1789;43;1396;1050;213369;2
Juan José de Celis;@Juanjo3800;spain;6744;6;1124;2;5000;3859;495237;208
;@BECAES_;cádiz, españa;6728;8;841;3032;17521;18519;1261850;382
La Voz de Galicia;@lavozdegalicia;galicia | españa;6650;10;665;2504;190;397292;337330;3458
Francisco Guerra Sandoval.;@CONTUNDENTEE;tenerife, islas canarias;6636;6;1106;3;1780;3329;200476;35
Mirella Palenzuela #HabráLeyTrans :open_umbrella::heart:;@mire_palenzuela;españa;6636;7;948;120;6093;5546;220819;48
elEconomista.es;@elEconomistaes;españa;6580;10;658;2410;431;721412;290025;9208
Ministerio de Sanidad;@sanidadgob;madrid, españa;6560;10;656;29426;694;692805;22604;4149
diariARA;@diariARA;catalunya;6460;10;646;1817;3662;549047;461967;6516
CanariaSaludable;@CanSaludable;canarias;6299;8;830;1480;559;10910;24599;149
El Día de Córdoba;@eldiacordoba;córdoba - españa;6264;9;696;140;2216;65794;152304;642
El Periódico de Aragón;@periodicoaragon;zaragoza;6237;9;693;445;633;87400;251611;912
Heraldo de Aragón;@heraldoes;aragón, españa;6200;10;620;5243;1322;176517;207999;1991
mallorcadiario.com;@mallorcadiario;palma de mallorca;6200;8;775;175;1280;21269;132103;387
Víctor Arrogante :fist:;@caval100;madrid (españa);5980;10;598;1332;89490;109986;815994;828
Diario de Jerez;@diariodejerez;jerez de la frontera;5944;8;743;56;21;17287;90918;291
RocioGrande;@rociogrande1;ibiza;5874;6;979;8;1962;4348;483548;145
Xavier Abad MdG;@XavierAbadMdG;bcn-catalunya;5855;8;811;9881;1752;11090;133397;198
The Objective;@TheObjective_es;españa;5843;10;623;4326;465;107586;360481;1598
Inés Borobia Díez;@vivaDBSK;zaragoza (españa);5830;5;1166;26;5002;1047;318002;120
Pedro Villegas;@vilpetrus;mentalmente en sevilla spain;5761;7;823;267;5289;6225;209089;169
Edu;@noaylucky;madrid, comunidad de madrid;5749;6;1093;26767;293;4247;25150;23
Vacunación del Covid;@covidvacunacion;españa;5710;2;2927;25;13;165;4753;0
Carlos;@MarvinHarris76;españa;5682;6;947;33;4008;4346;277259;235
SweetMary;@ProudandSweet;españa;5626;7;958;6462;2065;6131;89328;13
Canarias Ahora;@Cahora;islas canarias;5616;9;624;5277;330;96914;145196;880
infoLibre;@_infoLibre;madrid;5560;10;556;18386;937;368481;212377;5110
laverdad_es;@laverdad_es;región de murcia;5490;10;549;1457;764;186780;176525;1381
